Sample,Tier.II,Mean,SD
Tuss-MG,Membrane Transport,62646.33333,3572.666667
WS-MG,Membrane Transport,84367.33333,4442.666667
Tuss-MG,Signal Transduction,45877,906.6666667
WS-MG,Signal Transduction,43368,1467
Tuss-MG,Signaling Molecules,113.6666667,12
WS-MG,Signaling Molecules,181.6666667,22.33333333
