Tundra,H
Tuss-MG-T0,11.98654
Tuss-MG-T0,11.75993
Tuss-MG-T4,11.69615
Tuss-MG-T4,11.89319
Tuss-MG-T24,11.95821
Tuss-MG-T24,11.61855
WS-MG-T0,12.48649
WS-MG-T0,12.28717
WS-MG-T0,12.484
WS-MG-T4,12.41941
WS-MG-T4,12.33807
WS-MG-T4,12.4705
WS-MG-T24,12.45966
WS-MG-T24,12.31243
WS-MG-T24,12.39459
