Species,Sample,Value
Gammaproteobacteria,WS3-16S-T24,4.027226319
Gammaproteobacteria,WS1-16S-T4,3.230769231
Gammaproteobacteria,WS2-16S-T4,2.218430034
Gammaproteobacteria,WS3-16S-T4,4.057661506
Proteobacteria Unclassified,Tuss1-16S-T0,3.835860839
Proteobacteria Unclassified,Tuss2-16S-T0,3.024911032
Proteobacteria Unclassified,Tuss3-16S-T0,3.208955224
Proteobacteria Unclassified,Tuss1-16S-T24,3.228476821
Proteobacteria Unclassified,Tuss2-16S-T24,4.614019521
Proteobacteria Unclassified,Tuss3-16S-T24,3.119584055
Proteobacteria Unclassified,Tuss1-16S-T4,3.557312253
Proteobacteria Unclassified,Tuss2-16S-T4,4.07371484
Proteobacteria Unclassified,Tuss3-16S-T4,3.12221231
Proteobacteria Unclassified,WS1-16S-T0,2.817679558
Proteobacteria Unclassified,WS2-16S-T0,2.072909221
Proteobacteria Unclassified,WS3-16S-T0,3.676470588
Proteobacteria Unclassified,WS1-16S-T24,3.193612774
Proteobacteria Unclassified,WS2-16S-T24,2.271006813
Proteobacteria Unclassified,WS3-16S-T24,3.800340329
Proteobacteria Unclassified,WS1-16S-T4,3.076923077
Proteobacteria Unclassified,WS2-16S-T4,2.04778157
Proteobacteria Unclassified,WS3-16S-T4,3.203416978
Bacteroidetes,Tuss1-16S-T0,3.300624442
Bacteroidetes,Tuss2-16S-T0,4.09252669
Bacteroidetes,Tuss3-16S-T0,4.850746269
Bacteroidetes,Tuss1-16S-T24,3.311258278
Bacteroidetes,Tuss2-16S-T24,5.146406389
Bacteroidetes,Tuss3-16S-T24,6.672443674
Bacteroidetes,Tuss1-16S-T4,4.216073781
Bacteroidetes,Tuss2-16S-T4,4.267701261
Bacteroidetes,Tuss3-16S-T4,5.173951829
Bacteroidetes,WS1-16S-T0,5.027624309
Bacteroidetes,WS2-16S-T0,6.719085061
Bacteroidetes,WS3-16S-T0,4.705882353
Bacteroidetes,WS1-16S-T24,6.453759148
Bacteroidetes,WS2-16S-T24,6.131718395
Bacteroidetes,WS3-16S-T24,4.367555303
Bacteroidetes,WS1-16S-T4,6.076923077
Bacteroidetes,WS2-16S-T4,6.058020478
Bacteroidetes,WS3-16S-T4,5.339028297
Chloroflexi,Tuss1-16S-T0,0.535236396
Chloroflexi,Tuss2-16S-T0,0.444839858
Chloroflexi,Tuss3-16S-T0,0.895522388
Chloroflexi,Tuss1-16S-T24,1.324503311
Chloroflexi,Tuss2-16S-T24,0.443655723
Chloroflexi,Tuss3-16S-T24,0.779896014
Chloroflexi,Tuss1-16S-T4,0.724637681
Chloroflexi,Tuss2-16S-T4,0.290979631
Chloroflexi,Tuss3-16S-T4,0.89206066
Chloroflexi,WS1-16S-T0,3.701657459
Chloroflexi,WS2-16S-T0,4.288777698
Chloroflexi,WS3-16S-T0,2.696078431
Chloroflexi,WS1-16S-T24,4.191616766
Chloroflexi,WS2-16S-T24,4.617713853
Chloroflexi,WS3-16S-T24,1.985252411
Chloroflexi,WS1-16S-T4,3.307692308
Chloroflexi,WS2-16S-T4,4.692832765
Chloroflexi,WS3-16S-T4,2.669514148
Firmicutes,Tuss1-16S-T0,0.089206066
Firmicutes,Tuss2-16S-T0,0.088967972
Firmicutes,Tuss3-16S-T0,0.298507463
Firmicutes,Tuss1-16S-T24,0
Firmicutes,Tuss2-16S-T24,0.177462289
Firmicutes,Tuss3-16S-T24,0
Firmicutes,Tuss1-16S-T4,0.263504611
Firmicutes,Tuss2-16S-T4,0.193986421
Firmicutes,Tuss3-16S-T4,0.267618198
Firmicutes,WS1-16S-T0,1.104972376
Firmicutes,WS2-16S-T0,1.572551823
Firmicutes,WS3-16S-T0,0.392156863
Firmicutes,WS1-16S-T24,1.596806387
Firmicutes,WS2-16S-T24,1.286903861
Firmicutes,WS3-16S-T24,0.170164492
Firmicutes,WS1-16S-T4,1.076923077
Firmicutes,WS2-16S-T4,2.04778157
Firmicutes,WS3-16S-T4,0.694073679
Planctomycetes,Tuss1-16S-T0,12.04281891
Planctomycetes,Tuss2-16S-T0,13.52313167
Planctomycetes,Tuss3-16S-T0,12.01492537
Planctomycetes,Tuss1-16S-T24,14.56953642
Planctomycetes,Tuss2-16S-T24,11.35758651
Planctomycetes,Tuss3-16S-T24,12.39168111
Planctomycetes,Tuss1-16S-T4,11.26482213
Planctomycetes,Tuss2-16S-T4,11.83317168
Planctomycetes,Tuss3-16S-T4,12.66726137
Planctomycetes,WS1-16S-T0,3.20441989
Planctomycetes,WS2-16S-T0,2.787705504
Planctomycetes,WS3-16S-T0,7.647058824
Planctomycetes,WS1-16S-T24,3.592814371
Planctomycetes,WS2-16S-T24,2.34670704
Planctomycetes,WS3-16S-T24,8.735110607
Planctomycetes,WS1-16S-T4,2.769230769
Planctomycetes,WS2-16S-T4,3.071672355
Planctomycetes,WS3-16S-T4,5.92632141
Verrucomicrobia,Tuss1-16S-T0,5.263157895
Verrucomicrobia,Tuss2-16S-T0,5.871886121
Verrucomicrobia,Tuss3-16S-T0,8.208955224
Verrucomicrobia,Tuss1-16S-T24,5.629139073
Verrucomicrobia,Tuss2-16S-T24,5.057675244
Verrucomicrobia,Tuss3-16S-T24,6.412478336
Verrucomicrobia,Tuss1-16S-T4,4.87483531
Verrucomicrobia,Tuss2-16S-T4,4.752667313
Verrucomicrobia,Tuss3-16S-T4,6.690454951
Verrucomicrobia,WS1-16S-T0,7.513812155
Verrucomicrobia,WS2-16S-T0,5.50393138
Verrucomicrobia,WS3-16S-T0,7.352941176
Verrucomicrobia,WS1-16S-T24,7.252162342
Verrucomicrobia,WS2-16S-T24,7.494322483
Verrucomicrobia,WS3-16S-T24,7.543959161
Verrucomicrobia,WS1-16S-T4,6.923076923
Verrucomicrobia,WS2-16S-T4,6.56996587
Verrucomicrobia,WS3-16S-T4,8.649225841
Bacteria Unclassified,Tuss1-16S-T0,15.07582516
Bacteria Unclassified,Tuss2-16S-T0,14.76868327
Bacteria Unclassified,Tuss3-16S-T0,15.67164179
Bacteria Unclassified,Tuss1-16S-T24,13.90728477
Bacteria Unclassified,Tuss2-16S-T24,13.66459627
Bacteria Unclassified,Tuss3-16S-T24,13.34488735
