Species,Sample,Value
Archaea,WS2-T0,14.17913884
Archaea,WS1-T4,2.211644512
Archaea,WS2-T4,13.22955767
Archaea,WS1-T24,6.577431852
Archaea,WS2-T24,0.254891077
Archaea,Tuss1-T0,0.219416501
Archaea,Tuss2-T0,0.11809436
Archaea,Tuss1-T4,0.076586548
Archaea,Tuss2-T4,0.036793018
Archaea,Tuss1-T24,0.037837383
Archaea,Tuss2-T24,0.051232731
Fungi,WS1-T0,0.204893903
Fungi,WS2-T0,0.133548239
Fungi,WS1-T4,0.056113465
Fungi,WS2-T4,0.079119747
Fungi,WS1-T24,0.108198667
Fungi,WS2-T24,0.032852628
Fungi,Tuss1-T0,0.738206363
Fungi,Tuss2-T0,0.701365286
Fungi,Tuss1-T4,3.014152774
Fungi,Tuss2-T4,2.116026354
Fungi,Tuss1-T24,1.823761877
Fungi,Tuss2-T24,0.516821413
