Sample,Tier.II,Mean,SD
Tuss-MG,Cell Growth and Death,13616.33333,321.6666667
WS-MG,Cell Growth and Death,12230,502.3333333
Tuss-MG,Cell Motility,7449.333333,1441.666667
WS-MG,Cell Motility,3195,668.6666667
Tuss-MG,Transport and Catabolism,1984.333333,695.6666667
WS-MG,Transport and Catabolism,1050,40.66666667
Tuss-MG,Cellular Community,22573.66667,381.3333333
WS-MG,Cellular Community,20102.66667,2630.333333
