Species,Sample,Value
Proteobacteria Unclassified,WS2-MG-T24,0
Proteobacteria Unclassified,WS3-MG-T24,0.016769145
Bacteroidetes,Tuss1-MG-T0,0.396213956
Bacteroidetes,Tuss2-MG-T0,0.310052219
Bacteroidetes,Tuss1-MG-T4,0.669415734
Bacteroidetes,Tuss2-MG-T4,0.218608371
Bacteroidetes,Tuss1-MG-T24,0.423168474
Bacteroidetes,Tuss3-MG-T24,0.319473115
Bacteroidetes,WS1-MG-T0,1.560811622
Bacteroidetes,WS2-MG-T0,1.367066683
Bacteroidetes,WS3-MG-T0,0.854651499
Bacteroidetes,WS1-MG-T4,1.721372162
Bacteroidetes,WS2-MG-T4,4.545967287
Bacteroidetes,WS3-MG-T4,1.563290783
Bacteroidetes,WS1-MG-T24,3.447680442
Bacteroidetes,WS2-MG-T24,1.405224712
Bacteroidetes,WS3-MG-T24,0.519843488
Chloroflexi,Tuss1-MG-T0,0.253136694
Chloroflexi,Tuss2-MG-T0,0.22845953
Chloroflexi,Tuss1-MG-T4,0.176725754
Chloroflexi,Tuss2-MG-T4,0.186616902
Chloroflexi,Tuss1-MG-T24,0.269769902
Chloroflexi,Tuss3-MG-T24,0.378452767
Chloroflexi,WS1-MG-T0,7.605955097
Chloroflexi,WS2-MG-T0,8.814796486
Chloroflexi,WS3-MG-T0,7.541722007
Chloroflexi,WS1-MG-T4,7.823297137
Chloroflexi,WS2-MG-T4,9.137055838
Chloroflexi,WS3-MG-T4,8.378788731
Chloroflexi,WS1-MG-T24,9.94014044
Chloroflexi,WS2-MG-T24,8.276587842
Chloroflexi,WS3-MG-T24,7.065399665
Firmicutes,Tuss1-MG-T0,3.857583095
Firmicutes,Tuss2-MG-T0,3.105961706
Firmicutes,Tuss1-MG-T4,4.498473732
Firmicutes,Tuss2-MG-T4,3.588376433
Firmicutes,Tuss1-MG-T24,3.432954245
Firmicutes,Tuss3-MG-T24,2.595104689
Firmicutes,WS1-MG-T0,17.77524313
Firmicutes,WS2-MG-T0,19.1203761
Firmicutes,WS3-MG-T0,13.09118208
Firmicutes,WS1-MG-T4,16.04146101
Firmicutes,WS2-MG-T4,15.8714044
Firmicutes,WS3-MG-T4,9.660912107
Firmicutes,WS1-MG-T24,14.86128698
Firmicutes,WS2-MG-T24,17.30221617
Firmicutes,WS3-MG-T24,9.502515372
Planctomycetes,Tuss1-MG-T0,1.034558662
Planctomycetes,Tuss2-MG-T0,1.125979112
Planctomycetes,Tuss1-MG-T4,0.926471376
Planctomycetes,Tuss2-MG-T4,1.167688616
Planctomycetes,Tuss1-MG-T24,1.036762761
Planctomycetes,Tuss3-MG-T24,0.791310331
Planctomycetes,WS1-MG-T0,0.078040581
Planctomycetes,WS2-MG-T0,0.049486577
Planctomycetes,WS3-MG-T0,0.092394757
Planctomycetes,WS1-MG-T4,0.098716683
Planctomycetes,WS2-MG-T4,0.152284264
Planctomycetes,WS3-MG-T4,0.202440533
Planctomycetes,WS1-MG-T24,0.097847358
Planctomycetes,WS2-MG-T24,0.11142751
Planctomycetes,WS3-MG-T24,0.245947457
Verrucomicrobia,Tuss1-MG-T0,2.426810478
Verrucomicrobia,Tuss2-MG-T0,2.072454308
Verrucomicrobia,Tuss1-MG-T4,2.452739249
Verrucomicrobia,Tuss2-MG-T4,2.026126366
Verrucomicrobia,Tuss1-MG-T24,2.285109759
Verrucomicrobia,Tuss3-MG-T24,3.170156296
Verrucomicrobia,WS1-MG-T0,2.227158122
Verrucomicrobia,WS2-MG-T0,0.989731535
Verrucomicrobia,WS3-MG-T0,2.425362361
Verrucomicrobia,WS1-MG-T4,2.085389931
Verrucomicrobia,WS2-MG-T4,1.33107727
Verrucomicrobia,WS3-MG-T4,4.740482483
Verrucomicrobia,WS1-MG-T24,2.65914585
Verrucomicrobia,WS2-MG-T24,1.34332054
Verrucomicrobia,WS3-MG-T24,3.750698714
Bacteria Unclassified,Tuss1-MG-T0,0
Bacteria Unclassified,Tuss2-MG-T0,0
Bacteria Unclassified,Tuss1-MG-T4,0
Bacteria Unclassified,Tuss2-MG-T4,0
Bacteria Unclassified,Tuss1-MG-T24,0
Bacteria Unclassified,Tuss3-MG-T24,0
Bacteria Unclassified,WS1-MG-T0,0
Bacteria Unclassified,WS2-MG-T0,0
Bacteria Unclassified,WS3-MG-T0,0
Bacteria Unclassified,WS1-MG-T4,0
Bacteria Unclassified,WS2-MG-T4,0
Bacteria Unclassified,WS3-MG-T4,0
Bacteria Unclassified,WS1-MG-T24,0
Bacteria Unclassified,WS2-MG-T24,0
Bacteria Unclassified,WS3-MG-T24,0
Bacteria Other,Tuss1-MG-T0,1.177635923
Bacteria Other,Tuss2-MG-T0,0.875761532
Bacteria Other,Tuss1-MG-T4,1.25850158
Bacteria Other,Tuss2-MG-T4,1.066382298
Bacteria Other,Tuss1-MG-T24,1.385876752
Bacteria Other,Tuss3-MG-T24,0.978079229
Bacteria Other,WS1-MG-T0,5.03061592
Bacteria Other,WS2-MG-T0,4.39811951
Bacteria Other,WS3-MG-T0,3.817058382
Bacteria Other,WS1-MG-T4,4.534797631
Bacteria Other,WS2-MG-T4,5.172024817
Bacteria Other,WS3-MG-T4,4.048810662
Bacteria Other,WS1-MG-T24,5.226200069
Bacteria Other,WS2-MG-T24,5.323758821
Bacteria Other,WS3-MG-T24,3.225265511
Archaea,Tuss1-MG-T0,0.016508915
Archaea,Tuss2-MG-T0,0.02175805
Archaea,Tuss1-MG-T4,0
Archaea,Tuss2-MG-T4,0.010663823
Archaea,Tuss1-MG-T24,0.010579212
Archaea,Tuss3-MG-T24,0
Archaea,WS1-MG-T0,2.095089447
Archaea,WS2-MG-T0,2.078436224
Archaea,WS3-MG-T0,0.923947566
Archaea,WS1-MG-T4,2.776406713
Archaea,WS2-MG-T4,4.004512126
Archaea,WS3-MG-T4,0.927852443
Archaea,WS1-MG-T24,3.729711063
Archaea,WS2-MG-T24,1.875696422
Archaea,WS3-MG-T24,0.240357742
Fungi,Tuss1-MG-T0,1.045564605
Fungi,Tuss2-MG-T0,1.414273281
Fungi,Tuss1-MG-T4,2.158196326
Fungi,Tuss2-MG-T4,0.586510264
Fungi,Tuss1-MG-T24,1.676805078
Fungi,Tuss3-MG-T24,0.162194043
Fungi,WS1-MG-T0,0.072037459
Fungi,WS2-MG-T0,0.098973154
Fungi,WS3-MG-T0,0.086620084
Fungi,WS1-MG-T4,0.043188549
Fungi,WS2-MG-T4,0.078962211
Fungi,WS3-MG-T4,0.044986785
Fungi,WS1-MG-T24,0.069068723
Fungi,WS2-MG-T24,0.080475424
Fungi,WS3-MG-T24,0.055897149
