Sample,Veg,Mean,SD
Tuss-T0,Tussock,56.03536676,15.07576632
Tuss-T4,Tussock,58.58929622,17.24717824
Tuss-T24,Tussock,59.72247395,21.11684161
WS-T0,Wet Sedge,12.81761778,0.761012167
WS-T4,Wet Sedge,12.11374689,2.068925121
WS-T24,Wet Sedge,14.90119221,2.766018189
