Species,Sample,Value
Chloroflexi,WS3-MT-T0,11.92723924
Chloroflexi,WS1-MT-T4,8.465393471
Chloroflexi,WS2-MT-T4,5.648781924
Chloroflexi,WS1-MT-T24,8.181215315
Chloroflexi,WS3-MT-T24,8.018306844
Firmicutes,Tuss1-MT-T0,1.915245728
Firmicutes,Tuss2-MT-T0,1.706607523
Firmicutes,Tuss1-MT-T4,1.778276698
Firmicutes,Tuss2-MT-T4,1.336527766
Firmicutes,Tuss1-MT-T24,1.797696124
Firmicutes,Tuss3-MT-T24,1.412045984
Firmicutes,WS1-MT-T0,11.84380961
Firmicutes,WS3-MT-T0,12.2680175
Firmicutes,WS1-MT-T4,11.67353573
Firmicutes,WS2-MT-T4,7.794215059
Firmicutes,WS1-MT-T24,10.25793166
Firmicutes,WS3-MT-T24,8.077215003
Planctomycetes,Tuss1-MT-T0,0.589449413
Planctomycetes,Tuss2-MT-T0,0.430612362
Planctomycetes,Tuss1-MT-T4,0.404964487
Planctomycetes,Tuss2-MT-T4,0.286643279
Planctomycetes,Tuss1-MT-T24,0.315311528
Planctomycetes,Tuss3-MT-T24,0.364022039
Planctomycetes,WS1-MT-T0,0.075363275
Planctomycetes,WS3-MT-T0,0.069076675
Planctomycetes,WS1-MT-T4,0.052243571
Planctomycetes,WS2-MT-T4,0.038639876
Planctomycetes,WS1-MT-T24,0.038393075
Planctomycetes,WS3-MT-T24,0.091760788
Verrucomicrobia,Tuss1-MT-T0,0.355157218
Verrucomicrobia,Tuss2-MT-T0,0.456535515
Verrucomicrobia,Tuss1-MT-T4,0.479452773
Verrucomicrobia,Tuss2-MT-T4,0.279798066
Verrucomicrobia,Tuss1-MT-T24,0.336332296
Verrucomicrobia,Tuss3-MT-T24,0.757705133
Verrucomicrobia,WS1-MT-T0,0.518122512
Verrucomicrobia,WS3-MT-T0,0.50886484
Verrucomicrobia,WS1-MT-T4,0.897815445
Verrucomicrobia,WS2-MT-T4,0.620078016
Verrucomicrobia,WS1-MT-T24,0.718997592
Verrucomicrobia,WS3-MT-T24,1.198554484
Bacteria Unclassified,Tuss1-MT-T0,0
Bacteria Unclassified,Tuss2-MT-T0,0
Bacteria Unclassified,Tuss1-MT-T4,0
Bacteria Unclassified,Tuss2-MT-T4,0
Bacteria Unclassified,Tuss1-MT-T24,0
Bacteria Unclassified,Tuss3-MT-T24,0
Bacteria Unclassified,WS1-MT-T0,0
Bacteria Unclassified,WS3-MT-T0,0
Bacteria Unclassified,WS1-MT-T4,0
Bacteria Unclassified,WS2-MT-T4,0
Bacteria Unclassified,WS1-MT-T24,0
Bacteria Unclassified,WS3-MT-T24,0
Bacteria Other,Tuss1-MT-T0,0.58573049
Bacteria Other,Tuss2-MT-T0,0.574629875
Bacteria Other,Tuss1-MT-T4,0.453224503
Bacteria Other,Tuss2-MT-T4,0.266107641
Bacteria Other,Tuss1-MT-T24,0.445640293
Bacteria Other,Tuss3-MT-T24,0.53749427
Bacteria Other,WS1-MT-T0,4.521796472
Bacteria Other,WS3-MT-T0,3.612710108
Bacteria Other,WS1-MT-T4,4.049844237
Bacteria Other,WS2-MT-T4,2.575991757
Bacteria Other,WS1-MT-T24,3.950996475
Bacteria Other,WS3-MT-T24,2.125225154
Archaea,Tuss1-MT-T0,0.219416501
Archaea,Tuss2-MT-T0,0.11809436
Archaea,Tuss1-MT-T4,0.076586548
Archaea,Tuss2-MT-T4,0.036793018
Archaea,Tuss1-MT-T24,0.037837383
Archaea,Tuss3-MT-T24,0.051232731
Archaea,WS1-MT-T0,4.627776077
Archaea,WS3-MT-T0,14.17913884
Archaea,WS1-MT-T4,2.211644512
Archaea,WS2-MT-T4,13.22955767
Archaea,WS1-MT-T24,6.577431852
Archaea,WS3-MT-T24,0.254891077
Fungi,Tuss1-MT-T0,0.738206363
Fungi,Tuss2-MT-T0,0.701365286
Fungi,Tuss1-MT-T4,3.014152774
Fungi,Tuss2-MT-T4,2.116026354
Fungi,Tuss1-MT-T24,1.823761877
Fungi,Tuss3-MT-T24,0.516821413
Fungi,WS1-MT-T0,0.204893903
Fungi,WS3-MT-T0,0.133548239
Fungi,WS1-MT-T4,0.056113465
Fungi,WS2-MT-T4,0.079119747
Fungi,WS1-MT-T24,0.108198667
Fungi,WS3-MT-T24,0.032852628
