Sample,Gas,Mean,SD
WS-T0,CO2,11.57747915,0.396860307
WS-T4,CO2,10.94170964,1.078923957
WS-T24,CO2,13.45946221,1.442451086
WS-T0,CH4,7.926650715,0.611468227
WS-T4,CH4,-3.117669024,0.963468728
WS-T24,CH4,-4.080123935,1.028015635
