Timepoint,Acidobacteria  ,Actinobacteria  ,Alphaproteobacteria  ,Betaproteobacteria  ,Deltaproteobacteria  ,Gammaproteobacteria  ,Bacteroidetes  ,Chloroflexi  ,Firmicutes  ,Archaea,Fungi
WS-T0,7.307882527,41.08240503,2.571771743,2.830833,13.49473635,1.712159393,1.731000212,7.449188667,11.84380961,4.627776077,0.204893903
WS-T0,6.359659222,33.12226571,2.864379461,1.344692609,10.948653,1.04536035,1.595671195,11.92723924,12.2680175,14.17913884,0.133548239
WS-T4,8.507962307,39.08786595,3.198467522,3.540953155,14.66883381,1.886573402,1.673729224,8.465393471,11.67353573,2.211644512,0.056113465
WS-T4,7.457496136,41.88746596,1.841834106,3.045190255,11.91396188,0.701037757,3.155589902,5.648781924,7.794215059,13.22955767,0.079119747
WS-T24,8.907193466,40.12425395,2.586297162,3.430944819,12.40096332,1.190185334,1.476388259,8.181215315,10.25793166,6.577431852,0.108198667
WS-T24,10.2840053,42.1046073,7.144880088,6.908114599,12.02066317,1.022962854,0.671779593,8.018306844,8.077215003,0.254891077,0.032852628
