Timepoint,Iron.Oxidation,Iron.Reduction,Siderophore.Transport,Iron.Storage
T0,4.563492063,0,55.75396825,39.28571429
T0,5.575539568,0.179856115,50.53956835,42.26618705
T4,14.48663854,0.281293952,47.25738397,37.13080169
T4,11.46616541,0.187969925,53.38345865,34.21052632
T24,5.676855895,0.218340611,53.27510917,40.82969432
T24,8.464849354,0.286944046,61.2625538,29.69870875
