Time,Tuss_CH4,WS_CH4
T0,20.16327722,10.10207622
T0,20.41832013,7.877079491
T0,13.09852477,8.348020817
T4,-0.50966738,-2.598324131
T4,0.105010186,-2.184967765
T4,-3.692477366,-5.571576221
T24,-2.935239867,-3.901507972
T24,0.083073277,-6.722834511
T24,-2.507121299,-2.927174667
