Timepoint,Archaea.Euryarchaeota.Methanosarcina.,Archaea.Euryarchaeota.Methanothrix.,Bacteria.Acidobacteria.Acidobacteriaceae.bacterium,Bacteria.Acidobacteria.Acidobacterium.,Bacteria.Acidobacteria.Candidatus.Koribacter,Bacteria.Acidobacteria.Candidatus.Solibacter,Bacteria.Acidobacteria.Granulicella.,Bacteria.Acidobacteria.Luteitalea.,Bacteria.Acidobacteria.Terriglobus.,Bacteria.Actinobacteria.Blastococcus.,Bacteria.Actinobacteria.Conexibacter.,Bacteria.Actinobacteria.Geodermatophilus.,Bacteria.Actinobacteria.Kineococcus.,Bacteria.Actinobacteria.Kribbella.,Bacteria.Actinobacteria.Microlunatus.,Bacteria.Actinobacteria.Nakamurella.,Bacteria.Actinobacteria.Nonomuraea.,Bacteria.Actinobacteria.Plantactinospora.,Bacteria.Actinobacteria.Streptacidiphilus.,Bacteria.Actinobacteria.Streptosporangium.,Bacteria.Actinobacteria.Thermobifida.,Bacteria.Actinobacteria.Thermomonospora.,Bacteria.Alphaproteobacteria.Rhodoplanes.,Bacteria.Bacteroidetes.Alkalitalea.,Bacteria.Bacteroidetes.Niastella.,Bacteria.Betaproteobacteria.Rhizobacter.,Bacteria.Chloroflexi.Anaerolinea.,Bacteria.Chloroflexi.Herpetosiphon.,Bacteria.Chloroflexi.Pelolinea.,Bacteria.Chloroflexi.Roseiflexus.,Bacteria.Chloroflexi.Sphaerobacter.,Bacteria.Deltaproteobacteria.Desulfobacca.,Bacteria.Deltaproteobacteria.Desulfobacula.,Bacteria.Deltaproteobacteria.Geobacter.,Bacteria.Deltaproteobacteria.Labilithrix.,Bacteria.Deltaproteobacteria.Stigmatella.,Bacteria.Deltaproteobacteria.Syntrophobacter.,Bacteria.Deltaproteobacteria.Syntrophus.,Bacteria.Deltaproteobacteria.Vulgatibacter.,Bacteria.Firmicutes.Clostridia.Anoxybacter,Bacteria.Firmicutes.Clostridia.Carboxydocella,Bacteria.Firmicutes.Clostridia.Pelotomaculum,Bacteria.Gammaproteobacteria.Others.Steroidobacter
WS-T0,1.369178493,2.126224265,0.587147711,0.372276634,0.901958825,2.453527883,0.149910054,2.396062363,0.152408555,1.866380172,3.790225864,2.243653808,3.170597641,2.156206276,0.964421347,1.823905657,0.492204677,0.067459524,1.61153308,0.147411553,0.13991605,1.099340396,0.429742155,0.234859085,0.017489506,0.579652209,3.340495703,0.969418349,0.479712173,0.517189686,0.989406356,1.686488107,0.199880072,3.128123126,0.297321607,0.654607236,0.911952828,1.05686588,1.076853888,0.744553268,0.759544273,0.871976814,0.162402558
WS-T0,2.511796733,8.19600726,0.452510587,0.445251059,0.646098004,1.732607381,0.174228675,2.475499093,0.191167574,1.626134301,3.111917725,1.430127042,2.995765275,1.316394434,0.539624924,1.761645493,0.343617665,0.06291591,1.587416818,0.181488203,0.198427102,0.851784634,0.510586812,0.278281912,0.009679371,0.212946158,5.154264973,1.222020569,0.706594071,1.495462795,1.081669691,1.408348457,0.14277072,2.141560799,0.16938899,0.367816092,0.667876588,1.284936479,0.900181488,0.696914701,0.854204477,1.011494253,0.133091349
WS-T4,0.478938966,0.906709239,0.462564984,0.237422735,1.023373859,3.411928446,0.11666462,2.742641942,0.130991854,1.612837202,3.985017807,1.909615621,4.406647837,2.460190757,0.440050759,0.745016169,0.366367841,0.020467477,1.440910393,0.073682918,0.088010152,0.755249908,0.622211306,0.23332924,0.002046748,0.568995866,4.013672275,1.072495804,0.669286504,0.691800729,0.794138115,1.59646322,0.239469483,3.753735315,0.528060911,1.043841336,0.833026321,0.634491793,1.01314012,0.810512096,0.765483646,0.845306807,0.139178845
WS-T4,2.198411939,8.996460346,0.445805032,0.141586148,0.644790969,3.706113078,0.143499474,1.93819956,0.086099684,2.380177939,2.14101215,2.330431455,4.050511815,2.261551708,0.549124653,3.059408782,0.470678274,0.017219937,1.635894002,0.074619726,0.1090596,1.105902612,0.359705348,0.665837559,0.007653305,0.686884148,2.307471539,0.813163685,0.369271979,0.346312064,0.549124653,1.167129054,0.158806084,3.101501961,0.2908256,1.006409643,0.518511432,1.381421601,0.903090022,0.577824548,0.679230843,0.614177748,0.076533053
WS-T24,1.135840651,3.543749195,0.52649988,0.338727196,0.890999798,3.460908304,0.145431785,3.094567479,0.160159055,1.724931426,3.295226524,2.067340439,4.068408166,2.13545406,0.605658953,1.7194087,0.408681725,0.040499991,1.435908765,0.193295411,0.13806815,0.800795273,0.570681688,0.281659027,0.014727269,0.52649988,3.560317373,1.09534066,0.555954419,0.668249848,0.95727251,1.268386075,0.178568141,3.046703853,0.566999871,0.808158907,0.826567994,0.771340734,0.811840725,0.616704405,0.808158907,0.815522542,0.13806815
WS-T24,0.030562347,0.05759827,0.43257476,0.275061125,0.86750047,3.466475456,0.10579274,4.658406996,0.077581343,0.243323303,5.174440474,0.807551251,4.380994922,1.685630995,0.262130901,3.401824337,0.169268384,0.05289637,1.660946022,0.175145759,0.236270453,0.960362987,1.166071093,0.072879443,0.005877374,0.859272146,3.652200489,0.553648674,0.417293587,0.623001693,0.590088396,0.820481475,0.089336092,0.958012037,0.86514952,0.854570246,0.309149897,0.126951288,0.587737446,0.392608614,0.497225879,0.841640023,0.277412074
